intervention,gender,location,region,scenario_id,mean,median,std,p5,p10,p25,p75,p90,p95,p_positive,max_cost_bcr3_median,max_cost_bcr3_p5,max_cost_bcr3_p95
rte,male,urban,north,rte_male_urban_north,1560149.1418452146,1427561.0249051072,447347.3445562655,998626.6143737718,1053721.3033822589,1211540.242249619,1902904.2849641114,2149327.130205251,2295614.40994058,1.0,4.758536749683691,3.328755381245906,7.652048033135267
rte,male,urban,south,rte_male_urban_south,2938943.794129097,2691828.6603711196,862970.8058473491,1887858.5966641656,1947366.5933013307,2266131.665334842,3592652.342094992,4055431.7295157453,4376074.92451341,1.0,8.972762201237066,6.292861988880552,14.5869164150447
rte,male,urban,west,rte_male_urban_west,2293154.3717008852,2095220.3952249545,665428.4141913436,1470525.592869621,1529801.0661389497,1767622.8567460142,2786668.227737379,3162248.295424824,3397175.7203286327,1.0,6.984067984083182,4.90175197623207,11.32391906776211
rte,male,urban,east,rte_male_urban_east,1148817.807265135,1059336.1050992259,324702.96676785947,732421.2794141904,778818.0518422843,891561.0455541413,1404005.847114994,1578138.5898264102,1678069.9241754813,1.0,3.5311203503307533,2.441404264713968,5.593566413918271
rte,male,rural,north,rte_male_rural_north,1096263.7370392913,1007796.2512742885,309944.6444054656,690903.7633785012,748097.209582462,844921.7475544439,1333401.183664613,1504093.1023300216,1598633.8657119067,1.0,3.3593208375809613,2.303012544595004,5.328779552373022
rte,male,rural,south,rte_male_rural_south,2012851.0698833242,1847106.6399789236,587371.9180834579,1273414.331075218,1341186.892726541,1560080.5266091684,2440043.101159763,2785210.853406917,2994762.748278021,1.0,6.157022133263078,4.244714436917393,9.98254249426007
rte,male,rural,west,rte_male_rural_west,1584807.7087797872,1452866.74152594,455828.1784944672,1000724.36131368,1065293.2423522207,1229685.648919676,1921498.7517274064,2193716.5446590763,2335514.316175434,1.0,4.8428891384198,3.3357478710456,7.78504772058478
rte,male,rural,east,rte_male_rural_east,819166.3155847101,755712.1222976347,227516.96783901477,515769.75473744876,558722.9016982166,635453.7264119346,994406.4290856026,1115265.1493016027,1177605.317530629,1.0,2.5190404076587827,1.719232515791496,3.9253510584354303
rte,female,urban,north,rte_female_urban_north,1179905.244016968,1076713.8888981687,341292.48019437154,759980.4107402476,792295.647966013,917874.086996085,1444026.3599588368,1628709.1593526222,1741972.2153179944,1.0,3.5890462963272287,2.533268035800825,5.8065740510599815
rte,female,urban,south,rte_female_urban_south,2255315.4540597443,2060741.9289649092,664848.4174620252,1460801.5925355556,1503509.0620403986,1728236.4172209082,2763101.1484313775,3110326.8585509597,3360120.4623882524,1.0,6.8691397632163635,4.869338641785185,11.200401541294173
rte,female,urban,west,rte_female_urban_west,1750894.0160826612,1597734.9797132027,510879.79552408686,1132400.3004087545,1167647.3639655139,1346646.5018643043,2137484.9890048606,2424149.221472611,2596678.6430740417,1.0,5.325783265710676,3.7746676680291817,8.655595476913472
rte,female,urban,east,rte_female_urban_east,861385.4575791062,789594.1638085188,246168.5499069975,551213.9891650138,585219.9546260852,668828.3804820761,1056527.7652788293,1185152.895848515,1262593.8292214745,1.0,2.631980546028396,1.8373799638833792,4.208646097404915
