halflife_years,intervention,region,gender,location,lnpv,lnpv_lakhs,p_formal_treatment,max_cost_bcr_1.0,max_cost_bcr_2.0,max_cost_bcr_3.0
5,APPRENTICESHIP,north,male,urban,4473335.1002863655,44.73335100286366,0.72,4473335.1002863655,2236667.5501431827,1491111.7000954552
5,APPRENTICESHIP,south,male,urban,5141370.038222512,51.41370038222512,0.72,5141370.038222512,2570685.019111256,1713790.0127408374
5,APPRENTICESHIP,west,male,urban,4950396.57948812,49.5039657948812,0.72,4950396.57948812,2475198.28974406,1650132.1931627067
5,APPRENTICESHIP,east,male,urban,4012648.093002397,40.12648093002397,0.72,4012648.093002397,2006324.0465011986,1337549.3643341323
5,APPRENTICESHIP,north,male,rural,2946159.6122585265,29.461596122585266,0.72,2946159.6122585265,1473079.8061292632,982053.2040861755
5,APPRENTICESHIP,south,male,rural,3401325.017946315,34.01325017946315,0.72,3401325.017946315,1700662.5089731575,1133775.005982105
5,APPRENTICESHIP,west,male,rural,3267307.8568097735,32.673078568097736,0.72,3267307.8568097735,1633653.9284048867,1089102.618936591
5,APPRENTICESHIP,east,male,rural,2639393.6500771726,26.393936500771726,0.72,2639393.6500771726,1319696.8250385863,879797.8833590575
5,APPRENTICESHIP,north,female,urban,3537977.1229366646,35.379771229366646,0.72,3537977.1229366646,1768988.5614683323,1179325.7076455548
5,APPRENTICESHIP,south,female,urban,4052051.9359764494,40.52051935976449,0.72,4052051.9359764494,2026025.9679882247,1350683.9786588165
5,APPRENTICESHIP,west,female,urban,3907603.007082905,39.07603007082905,0.72,3907603.007082905,1953801.5035414526,1302534.3356943016
5,APPRENTICESHIP,east,female,urban,3178955.4840532765,31.789554840532766,0.72,3178955.4840532765,1589477.7420266382,1059651.828017759
5,APPRENTICESHIP,north,female,rural,2034429.3580291348,20.34429358029135,0.72,2034429.3580291348,1017214.6790145674,678143.1193430449
5,APPRENTICESHIP,south,female,rural,2344187.1374247638,23.441871374247636,0.72,2344187.1374247638,1172093.5687123819,781395.7124749213
5,APPRENTICESHIP,west,female,rural,2253208.536434091,22.53208536434091,0.72,2253208.536434091,1126604.2682170456,751069.512144697
5,APPRENTICESHIP,east,female,rural,1825300.720803931,18.25300720803931,0.72,1825300.720803931,912650.3604019654,608433.5736013103
10,APPRENTICESHIP,north,male,urban,4822061.536107601,48.22061536107601,0.72,4822061.536107601,2411030.7680538003,1607353.8453692002
10,APPRENTICESHIP,south,male,urban,5545158.542857629,55.451585428576294,0.72,5545158.542857629,2772579.2714288146,1848386.1809525432
