p_formal_apprentice,intervention,region,gender,location,lnpv,lnpv_lakhs,p_formal_treatment,max_cost_bcr_1.0,max_cost_bcr_2.0,max_cost_bcr_3.0
0.5,APPRENTICESHIP,north,male,urban,3322726.546707786,33.22726546707786,0.5,3322726.546707786,1661363.273353893,1107575.515569262
0.5,APPRENTICESHIP,south,male,urban,3809086.4498683712,38.090864498683715,0.5,3809086.4498683712,1904543.2249341856,1269695.4832894572
0.5,APPRENTICESHIP,west,male,urban,3678671.336059163,36.78671336059163,0.5,3678671.336059163,1839335.6680295814,1226223.7786863877
0.5,APPRENTICESHIP,east,male,urban,2983156.229274195,29.831562292741953,0.5,2983156.229274195,1491578.1146370976,994385.409758065
0.5,APPRENTICESHIP,north,male,rural,2217737.3233524603,22.1773732335246,0.5,2217737.3233524603,1108868.6616762301,739245.77445082
0.5,APPRENTICESHIP,south,male,rural,2557888.6834235005,25.578886834235004,0.5,2557888.6834235005,1278944.3417117503,852629.5611411668
0.5,APPRENTICESHIP,west,male,rural,2462209.537492542,24.622095374925422,0.5,2462209.537492542,1231104.768746271,820736.512497514
0.5,APPRENTICESHIP,east,male,rural,1987647.391582272,19.87647391582272,0.5,1987647.391582272,993823.695791136,662549.130527424
0.5,APPRENTICESHIP,north,female,urban,2617591.430067793,26.17591430067793,0.5,2617591.430067793,1308795.7150338965,872530.4766892643
0.5,APPRENTICESHIP,south,female,urban,2986342.1863388093,29.863421863388094,0.5,2986342.1863388093,1493171.0931694047,995447.3954462698
0.5,APPRENTICESHIP,west,female,urban,2890334.6097015208,28.90334609701521,0.5,2890334.6097015208,1445167.3048507604,963444.8699005069
0.5,APPRENTICESHIP,east,female,urban,2355452.4956969186,23.554524956969185,0.5,2355452.4956969186,1177726.2478484593,785150.8318989729
0.5,APPRENTICESHIP,north,female,rural,1536001.825093884,15.36001825093884,0.5,1536001.825093884,768000.912546942,512000.608364628
0.5,APPRENTICESHIP,south,female,rural,1767060.5203418406,17.670605203418404,0.5,1767060.5203418406,883530.2601709203,589020.1734472802
0.5,APPRENTICESHIP,west,female,rural,1702314.9474003916,17.023149474003915,0.5,1702314.9474003916,851157.4737001958,567438.3158001305
0.5,APPRENTICESHIP,east,female,rural,1379339.2439671275,13.793392439671274,0.5,1379339.2439671275,689669.6219835638,459779.7479890425
0.6,APPRENTICESHIP,north,male,urban,4004242.450980428,40.042424509804285,0.6,4004242.450980428,2002121.225490214,1334747.4836601426
0.6,APPRENTICESHIP,south,male,urban,4598210.128499851,45.98210128499851,0.6,4598210.128499851,2299105.0642499253,1532736.7094999503
0.6,APPRENTICESHIP,west,male,urban,4431925.756571031,44.31925756571031,0.6,4431925.756571031,2215962.8782855156,1477308.585523677
0.6,APPRENTICESHIP,east,male,urban,3592933.6173076113,35.929336173076116,0.6,3592933.6173076113,1796466.8086538056,1197644.539102537
0.6,APPRENTICESHIP,north,male,rural,2659410.160488114,26.594101604881143,0.6,2659410.160488114,1329705.080244057,886470.0534960381
0.6,APPRENTICESHIP,south,male,rural,3069299.336948996,30.692993369489958,0.6,3069299.336948996,1534649.668474498,1023099.7789829987
0.6,APPRENTICESHIP,west,male,rural,2950374.2522214223,29.50374252221422,0.6,2950374.2522214223,1475187.1261107111,983458.0840738075
