p_formal_rte,intervention,region,gender,location,lnpv,lnpv_lakhs,p_formal_treatment,max_cost_bcr_1.0,max_cost_bcr_2.0,max_cost_bcr_3.0
0.2,RTE,north,male,urban,1080117.3689516298,10.801173689516299,0.16666666666666669,1080117.3689516298,540058.6844758149,360039.1229838766
0.2,RTE,south,male,urban,2008067.5234513138,20.080675234513137,0.2777777777777778,2008067.5234513138,1004033.7617256569,669355.841150438
0.2,RTE,west,male,urban,1584484.8086181202,15.844848086181202,0.22222222222222224,1584484.8086181202,792242.4043090601,528161.6028727067
0.2,RTE,east,male,urban,804335.2623318868,8.043352623318867,0.13333333333333333,804335.2623318868,402167.6311659434,268111.7541106289
0.2,RTE,north,male,rural,787735.5308045389,7.877355308045389,0.16666666666666669,787735.5308045389,393867.76540226943,262578.51026817964
0.2,RTE,south,male,rural,1415394.8213340545,14.153948213340545,0.2777777777777778,1415394.8213340545,707697.4106670272,471798.27377801813
0.2,RTE,west,male,rural,1129667.70418503,11.2966770418503,0.22222222222222224,1129667.70418503,564833.852092515,376555.90139501
0.2,RTE,east,male,rural,597535.6662673926,5.975356662673926,0.13333333333333333,597535.6662673926,298767.8331336963,199178.55542246418
0.2,RTE,north,female,urban,798772.8047620354,7.987728047620354,0.16666666666666669,798772.8047620354,399386.4023810177,266257.6015873451
0.2,RTE,south,female,urban,1515710.446319621,15.15710446319621,0.2777777777777778,1515710.446319621,757855.2231598105,505236.81543987367
0.2,RTE,west,female,urban,1188023.21981754,11.880232198175399,0.22222222222222224,1188023.21981754,594011.60990877,396007.73993917997
0.2,RTE,east,female,urban,588012.4340179557,5.880124340179557,0.13333333333333333,588012.4340179557,294006.21700897784,196004.1446726519
0.2,RTE,north,female,rural,533670.0765284088,5.336700765284088,0.16666666666666669,533670.0765284088,266835.0382642044,177890.0255094696
0.2,RTE,south,female,rural,961013.9328698819,9.610139328698818,0.2777777777777778,961013.9328698819,480506.9664349409,320337.97762329393
0.2,RTE,west,female,rural,766477.0663701495,7.6647706637014945,0.22222222222222224,766477.0663701495,383238.53318507475,255492.3554567165
