parameter_name,tier,baseline_value,min_value,max_value,npv_at_min,npv_at_max,delta_npv,pct_swing,npv_elasticity,direction,affects_intervention,intervention,rank
P_FORMAL_RTE,1,0.3,0.2,0.5,1463741.90088887,3744153.436309083,2280411.535420213,102.5420651951162,1.025420651951162,positive,True,rte,1
SOCIAL_DISCOUNT_RATE,2,0.05,0.03,0.08,3099606.1524493834,1480674.3594918768,1618931.7929575066,72.7976537924785,-0.727976537924785,negative,True,rte,2
REAL_WAGE_GROWTH_FORMAL,2,0.015,0.005,0.025,1877208.7366629003,2656477.8880225336,779269.1513596333,35.04098575283593,0.26280739314626944,positive,True,rte,3
MINCER_RETURN_HS,2,0.058,0.05,0.09,2137084.6092472207,2566411.2638609638,429326.65461374307,19.305305697504828,0.2799269326138201,positive,True,rte,4
EXPERIENCE_LINEAR,3,0.00885,0.005,0.012,2092312.0638181863,2340781.9712941055,248469.90747591923,11.172815544771938,0.14125631081604523,positive,True,rte,5
RTE_TEST_SCORE_GAIN,1,0.137,0.1,0.2,2144539.575150267,2361663.4361761594,217123.8610258922,9.763294373368323,0.13375713291514604,positive,True,rte,6
TEST_SCORE_TO_YEARS,2,6.8,4.0,8.0,2103375.4662582004,2276349.890643918,172974.4243857176,7.778049894480785,0.13222684820617334,positive,True,rte,7
EXPERIENCE_QUAD,3,-0.000123,-0.0002,-5e-05,2160890.9289405067,2287437.9383938676,126547.00945336092,5.690372764766054,0.04666105667108165,positive,True,rte,8
REAL_WAGE_GROWTH_INFORMAL,2,-0.002,-0.01,0.005,2249279.2351024803,2197897.8943328434,51381.34076963691,2.3104377052897664,-0.003080583607053022,negative,True,rte,9
FORMAL_MULTIPLIER,2,2.25,2.24,2.48,2223879.079362274,2223879.079362274,0.0,0.0,0.0,negative,True,rte,10
P_FORMAL_HIGHER_SECONDARY,1,0.091,0.05,0.15,2223879.079362274,2223879.079362274,0.0,0.0,0.0,negative,True,rte,11
P_FORMAL_SECONDARY,1,0.12,0.08,0.14,2223879.079362274,2223879.079362274,0.0,0.0,0.0,negative,True,rte,12
