year,scenario,attribution_fraction,intensity_factor,cumulative_multiplier,effective_bcr_rte,effective_bcr_apprenticeship
0,conservative,0.20,1.0000,1.0000,5.51,7.98
1,conservative,0.20,0.9500,1.1900,6.56,9.50
2,conservative,0.20,0.9025,1.3705,7.55,10.94
3,conservative,0.20,0.8574,1.5420,8.50,12.31
4,conservative,0.20,0.8145,1.7049,9.39,13.61
5,conservative,0.20,0.7738,1.8596,10.25,14.84
0,moderate,0.40,1.0000,1.0000,14.32,22.96
1,moderate,0.40,0.9700,1.3880,19.87,31.87
2,moderate,0.40,0.9409,1.7644,25.26,40.51
3,moderate,0.40,0.9127,2.1294,30.49,48.90
4,moderate,0.40,0.8853,2.4835,35.56,57.03
5,moderate,0.40,0.8587,2.8270,40.48,64.91
6,moderate,0.40,0.8330,3.1602,45.25,72.57
7,moderate,0.40,0.8080,3.4834,49.87,79.99
8,moderate,0.40,0.7837,3.7969,54.36,87.18
9,moderate,0.40,0.7602,4.1010,58.72,94.17
10,moderate,0.40,0.7374,4.3960,62.94,100.94
0,optimistic,0.60,1.0000,1.0000,42.42,65.02
1,optimistic,0.60,0.9900,1.5940,67.61,103.64
2,optimistic,0.60,0.9801,2.1821,92.56,141.87
3,optimistic,0.60,0.9703,2.7642,117.25,179.72
4,optimistic,0.60,0.9606,3.3406,141.70,217.19
5,optimistic,0.60,0.9510,3.9112,165.91,254.29
6,optimistic,0.60,0.9415,4.4761,189.87,291.02
7,optimistic,0.60,0.9321,5.0353,213.59,327.38
8,optimistic,0.60,0.9227,5.5890,237.07,363.37
9,optimistic,0.60,0.9135,6.1371,260.32,399.01
10,optimistic,0.60,0.9044,6.6797,283.34,434.29
11,optimistic,0.60,0.8953,7.2169,306.13,469.21
12,optimistic,0.60,0.8864,7.7487,328.69,503.79
13,optimistic,0.60,0.8775,8.2753,351.02,538.02
14,optimistic,0.60,0.8687,8.7965,373.13,571.91
15,optimistic,0.60,0.8601,9.3125,395.02,605.46
