intervention,region,gender,location,lnpv,treatment_lifetime_earnings,control_lifetime_earnings,p_formal_treatment,annual_differential,discount_rate
rte,north,male,urban,1497622.3566651936,10592258.459899418,6811145.540389606,0.25,"[ 55826.22237871  57196.837424    58586.03832116  59993.56554148
  67809.5703185   69403.06378045  71015.79782348  72647.39669607
  74297.46195302  75965.57234983  77651.28376311  79354.12913794
  81073.61846276  82809.23877238  85357.35898352  87140.25604523
  88937.74416253  90749.21347508  92574.03141357  94411.54288443
  96261.07048615  98121.91475773  99993.35445931 101874.64688528
 103765.02820995 105663.71386587 107569.89895491 109482.75869188
 111401.44888083 113325.10642371 115252.84986132 117183.7799461
 119116.98024672 121051.51778377 118393.58895253 120255.7020492
 122116.31901206 123974.48468863 125829.23149072 127679.58017589]",0.05
rte,north,male,rural,1039251.4144315774,8022493.742795538,5397206.250141982,0.25,"[38676.84378389 39631.3151734  40598.81065289 41579.15039278
 47001.61188773 48111.65622575 49235.19261483 50371.96010152
 51521.68185419 52684.06508784 53858.80100725 55045.564769
 56244.01546264 57453.79611166 59227.48741517 60470.39683281
 61723.5649694  62986.56703529 64258.96233997 65540.29441998
 66830.09118923 68127.86511158 69433.11339606 70745.31821479
 72063.94694369 73388.4524261  74718.27325915 76052.83410321
 77391.54601391 78733.80679703 80079.00138585 81426.50224094
 82775.66977204 84125.85278187 82284.32461455 83584.11789476
 84882.94563531 86180.14094535 87475.02820066 88766.92358948]",0.05
rte,north,female,urban,1140643.7289459603,7657869.023344567,4778922.735533576,0.25,"[42557.91647432 43599.76583389 44655.69299712 45725.5001339
 51679.27219132 52890.31481493 54115.92553905 55355.81830451
 56609.68984794 57877.21962231 59158.06973739 60451.88492059
 61758.29249858 63076.90240037 65014.28704036 66368.7069313
 67734.15789368 69110.17641045 70496.28175603 71891.97613711
 73296.74485736 74710.05650648 76131.36317368 77560.10068575
 78995.68886982 80437.53184088 81885.01831406 83337.52194169
 84794.40167503 86255.00215055 87718.65410071 89184.67478884
 90652.36846812 92121.02686416 90094.87006632 91508.44842373
 92920.84262055 94331.32768308 95739.16922995 97143.62406508]",0.05
rte,north,female,rural,706353.096201865,5428565.22848261,3644279.388518713,0.25,"[26290.12575656 26938.72550742 27596.17247569 28262.34442536
 31947.90717602 32702.21055775 33465.67868842 34238.13421255
 35019.38898773 35809.2440336  36607.48949326 37413.90460747
 38228.25770201 39050.30618826 40255.62712129 41100.17988205
 41951.7000442  42809.89895062 43674.47714225 44545.12444517
 45421.52007264 46303.33274246 47190.22080962 48081.83241438
 48977.80564586 49877.76872114 50781.34017992 51688.12909469
 52597.73529644 53509.7496157  54423.75413902 55339.32248054
 56256.0200687  57173.40444774 55921.65119411 56804.7920708
 57687.27386737 58568.64347348 59448.44184694 60326.20438464]",0.05
rte,south,male,urban,2865348.8411471364,15524216.36216244,8202301.553615691,0.41666666666666663,"[102993.25285306 105819.24028655 108688.48024267 111600.49233773
 126473.74279453 129781.39390321 133134.37709294 136531.96091203
 139973.36257892 143457.74767082 146984.22987167 150551.87078064
 154159.67978295 157806.6139844  163013.48837216 166770.41023284
 170563.35154431 174391.04916827 178252.18787445 182145.40068666
 186069.26930092 190022.32457641 194003.04709986 198009.86782385
 202041.1687793  206095.28386248 210170.49969655 214265.05656765
 218377.14943534 222504.92901717 226646.50294687 230799.9370056
 234963.25642572 239134.44726596 234225.13785431 238249.7530034
 242275.91741111 246301.55608389 250324.56393286 254342.80748667]",0.05
rte,south,male,rural,1942265.0313322314,11404631.058524914,6425347.977307541,0.41666666666666663,"[ 69110.0435401   71063.15890682  73047.01064948  75061.276121
  85128.14911576  87417.93889003  89740.02705974  92093.9155023
  94479.06984333  96894.91922556  99340.85611949 101816.23617693
 104320.37812847 106852.56372596 110443.14593996 113053.48655924
 115689.73621725 118351.02094977 121036.42988918 123745.0154977
 126475.79385152 129227.74497657 131999.81323608 134790.90777049
 137599.90298986 140425.63911895 143266.92279509 146122.52771874
 148991.19535674 151871.63569796 154762.52806111 157662.52195431
 160570.23798588 163484.26882581 160188.95357017 163002.15266667
 165817.21502979 168632.68851204 171447.09940433 174258.95363718]",0.05
rte,south,female,urban,2211243.3831607504,11442181.44607542,5801667.791019656,0.41666666666666663,"[ 79914.96672518  82072.72663202  84262.99238138  86485.39141802
  97972.53068966 100495.73138442 103052.94892561 105643.62026116
 108267.14362442 110922.87830635 113610.14447228 116328.22302443
 119076.35551146 121853.74408601 125834.35356747 128694.40499922
 131581.33384833 134494.1762564  137431.92914555 140393.55048623
 143377.95961948 146384.03763401 149410.62779865 152456.53605043
 155520.5315387  158601.34722528 161697.68054077 164808.19409709
 167931.51645599 171066.2429534  174210.93657922 177364.12891218
 180524.32110926 183689.98494892 179881.40593859 182934.86333082
 185989.01569485 189042.28980792 192093.08993726 195139.79913734]",0.05
rte,south,female,rural,1322243.5942412685,7730801.552827064,4341693.940776382,0.41666666666666663,"[ 47077.0245064   48405.12354251  49754.0892612   51123.70189118
  57977.57544773  59534.45833197  61113.26506358  62713.65662793
  64335.26939059  65977.71494082  67640.57996345  69323.42613983
  71025.79007865  72747.18327731  75189.0647104   76963.51693347
  78755.5464302   80564.55895264  82389.93519498  84231.03095232
  86087.17731416  87957.68089279  89841.82408696  91738.86538107
  93648.03967997  95568.55867961  97499.61127343  99440.36399466
 101389.96149425 103347.52705453 105312.16313819 107282.95197243
 109258.95616787 111239.21937198 108994.53084594 110906.21063516
 112819.1257151  114732.28936272 116644.70022378 118555.34312895]",0.05
rte,west,male,urban,2223879.079362274,13262593.26814032,7603082.885610849,0.3333333333333333,"[ 80948.04295185  83087.38191892  85258.2507874   87460.27243234
  99025.26015592 101523.78670293 104055.23792228 106619.049438
 109214.61913295 111841.30693613 114498.43465355 117185.28584363
 119901.10573846 122645.1012119  126598.37583962 129422.55662027
 132272.5447961  135147.38554515 138046.08590714 140967.61505394
 143910.90461297 146874.84904416 149858.30607065 152860.09716381
 155879.00808266 158913.78946796 161963.15749095 165025.79455676
 168100.3500623  171185.44120857 174279.65386682 177381.54349836
 180489.63612736 183602.42936615 179745.50742806 182746.66239626
 185747.85009311 188747.52568573 191744.12265433 194736.054064  ]",0.05
rte,west,male,rural,1519651.5541176244,9876996.69695882,6000921.5534886625,0.3333333333333333,"[ 54933.83380631  56416.0256267   57920.53012428  59447.09120891
  67341.77481374  69074.92068851  70831.41480256  72610.87024817
  74412.87353882  76236.98445301  78082.73590865  79949.63386892
  81837.15728037  83744.758044    86479.23981498  88443.58215776
  90426.36769017  92426.9343445   94444.59312979  96478.62831591
  98528.29765498 100592.83264047 102671.43880432 104763.29605223
 106867.55903742 108983.35757282 111109.79708191 113245.95908808
 115390.90174244 117543.66038992 119703.24817354 121868.65667638
 124038.85660101 126212.79848595 123594.78805969 125691.64503544
 127788.96437421 129885.66575232 131980.65339814 134072.81698283]",0.05
